Experiment,Vertices,Edges,Density,Status,Algorithm,Time(ms),Memory(KB),Weight
V2000_D10.000000,2000,10000,10,COMPLETED,Prim_BinaryHeap,0.6368,0,25656
V2000_D10.000000,2000,10000,10,COMPLETED,KKT,8.6038,1356,25656
V2000_D10.000000,2000,10000,10,COMPLETED,Boruvka_Parallel_2threads,1.9897,0,25656
V2000_D10.000000,2000,10000,10,COMPLETED,Boruvka_Parallel_4threads,1.8933,0,25656
V2000_D20.000000,2000,20000,20,COMPLETED,Kruskal,1.3735,312,13756.2
V2000_D20.000000,2000,20000,20,COMPLETED,Prim_BinaryHeap,0.896,72,13756.2
V2000_D20.000000,2000,20000,20,COMPLETED,KKT,15.2019,2900,13756.2
V2000_D20.000000,2000,20000,20,COMPLETED,Boruvka_Parallel_2threads,3.1729,60,13756.2
V2000_D20.000000,2000,20000,20,COMPLETED,Boruvka_Parallel_4threads,2.5799,44,13756.2
V5000_D0.010000,5000,124975,0.01,COMPLETED,Kruskal,7.5998,1968,17025.7
V5000_D0.010000,5000,124975,0.01,COMPLETED,Prim_BinaryHeap,3.0364,36,17025.7
V5000_D0.010000,5000,124975,0.01,COMPLETED,KKT,131.099,2764,17025.7
V5000_D0.010000,5000,124975,0.01,COMPLETED,Boruvka_Parallel_2threads,10.2178,0,17025.7
V5000_D0.010000,5000,124975,0.01,COMPLETED,Boruvka_Parallel_4threads,6.2331,0,17026.7
V5000_D0.020000,5000,249950,0.02,COMPLETED,Kruskal,16.1009,3988,11029.3
V5000_D0.020000,5000,249950,0.02,COMPLETED,Prim_BinaryHeap,5.4472,608,11029.3
V5000_D0.020000,5000,249950,0.02,COMPLETED,KKT,238.12,9508,11029.3
V5000_D0.020000,5000,249950,0.02,COMPLETED,Boruvka_Parallel_2threads,16.1531,52,11029.3
V5000_D0.020000,5000,249950,0.02,COMPLETED,Boruvka_Parallel_4threads,14.7514,48,11029.3
V5000_D0.050000,5000,624875,0.05,COMPLETED,Kruskal,42.354,9796,7426.44
V5000_D0.050000,5000,624875,0.05,COMPLETED,Prim_BinaryHeap,8.2015,724,7426.44
V5000_D0.050000,5000,624875,0.05,COMPLETED,KKT,611.374,19744,7426.44
V5000_D0.050000,5000,624875,0.05,COMPLETED,Boruvka_Parallel_2threads,35.5266,44,7426.44
V5000_D0.050000,5000,624875,0.05,COMPLETED,Boruvka_Parallel_4threads,34.4287,0,7426.44
V5000_D0.100000,5000,1249750,0.1,COMPLETED,Kruskal,88.256,19568,6198.74
V5000_D0.100000,5000,1249750,0.1,COMPLETED,Prim_BinaryHeap,14.2085,760,6198.74
